Kod Lokasi,Diskripsi,   
KAW,KAW,     
ALA,Asrama Lelaki Blok A ,     
ALB,Asrama Lelaki Blok B ,     
ALC,Asrama Lelaki Blok C,     
ALD,Asrama Lelaki Blok D,     
ALE,Asrama Lelaki Blok E,     
ALF,Asrama Lelaki Blok F,     
APA,Asrama Perempuan Blok A,     
APB,Asrama Perempuan Blok B,     
BBK,Bangunan Bilik Kuliah (Pentagon),     
BSA1,Bangunan Staf Akademik 1,     
BSA2,Bangunan Staf Akademik 2 (Pentadbiran),     
BSA3,Bangunan Staf Akademik 3,     
BSA4,Bangunan Staf Akademik 4,     
BSA5,Bangunan Staf Akademik 5,     
CAN,Kantin,     
CISEC,CISEC,     
D3,KUARTERS KELAS D DICONVERT KE PEJ UPS  ,     
DSG,Dewan Serbaguna,     
JKA,Bangunan Bengkel JKA,     
JKE,Bangunan Bengkel JKE,     
JKM1,Bangunan Bengkel Lama JKM,     
JKM2,Bangunan Bengkel Baru JKM,     
JKPK,Bangunan JKPK,     
JPA,Bangunan JPA,     
KAFE,Kafeteria,     
KLNK,Klinik,     
KON,KONTENA,     
LIB,Bangunan Perpustakaan,     
LOD,LODGE  ,     
PPB,RUANG  ,     
PPL,RUANG  ,     
RKW,BILIK 1  ,     
RPUMP,RUMAH PUMP UTAMA  ,     
SFTB,B01  ,     
SFTC,B02  ,     
STOR,Stor,     
TR,Ruang  ,     
UICT,Bangunan UICT,     
UIDM,Mini Auditorium  ,     
UP,Bangunan Unit Penyelenggaraan,     
WKF,Bilik Alumni  ,     
