DEPARTMENT,ABBR,LOCATION,total aset
JABATAN KEJURUTERAAN AWAM,JKA,JABATAN KEJURUTERAAN AWAM,1252
JABATAN KEJURUTERAAN MEKANIKAL,JKM,JABATAN KEJURUTERAAN MEKANIKAL,1204
JABATAN KEJURUTERAAN PETROKIMIA,JKPK,JABATAN KEJURUTERAAN PETROKIMIA,919
JABATAN KEJURUTERAAN ELEKTRIK,JKE,JABATAN KEJURUTERAAN ELEKTRIK,1829
JABATAN TEKNOLOGI MAKLUMAT & KOMUNIKASI,JTMK,JABATAN TEKNOLOGI MAKLUMAT & KOMUNIKASI,841
JABATAN PERDAGANGAN,JP,JABATAN PERDAGANGAN,418
"JABATAN MATEMATIK, SAINS & KOMPUTER",JMSK,"JABATAN MATEMATIK, SAINS & KOMPUTER",347
JABATAN PENGAJIAN AM,JPA,JABATAN PENGAJIAN AM,188
JABATAN HAL EHWAL PELAJAR,JHEP,JABATAN HAL EHWAL PELAJAR,150
JABATAN SUKAN KO-KURIKULUM DAN KEBUDAYAAN ,JSKK,JABATAN SUKAN & KOKURIKULUM,176
UNIT KHIDMAT PENGURUSAN ,UKP,PEJABAT PENGARAH,78
,,PEJABAT TIMBALAN PENGARAH AKADEMIK,6
,,PEJABAT TIMBALAN PENGARAH SOKONGAN AKADEMIK,183
,,UNIT PENTADBIRAN,171
,,UNIT PEROLEHAN DAN BEKALAN,23
,,UNIT PERAKAUNAN DAN BAYARAN,62
,,UNIT PENGURUSAN ASET,63
UNIT KOMUNIKASI KORPORAT ,UKK,UNIT KOMUNIKASI KORPORAT ,0
UNIT JAMINAN KUALITI,UJK,UNIT PENGURUSAN KUALITI,54
"UNIT PENYELIDIKAN, INOVASI DAN KOMERSIALAN ",UPIK,UNIT R&D,0
UNIT PENGURUSAN PSIKOLOGI ,UPPsi,UNIT PSIKOLOGI & KERJAYA,42
UNIT LATIHAN DAN PENDIDIKAN LANJUTAN ,ULPL,UNIT LATIHAN & PENDIDIKAN LANJUTAN,416
"CORPORATE, INDUSTRIAL SERVICES & EMPLOYABILITY CENTRE ",CISEC,UNIT CISEC,8
UNIT PERHUBUNGAN DAN LATIHAN INDUSTRI ,UPLI,UNIT PERHUBUNGAN & LATIHAN INDUSTRI,18
UNIT KEUSAHAWANAN,UK,UNIT KEUSAHAWANAN,0
UNIT PEMBANGUNAN INSTRUKSIONAL DAN MULTIMEDIA ,UIDM,UNIT PEMBANGUNAN INSTRUKSIONAL & MULTIMEDIA,167
UNIT PEPERIKSAAN,UPeP,UNIT PEPERIKSAAN,166
UNIT PERPUSTAKAAN ,UP,UNIT PERPUSTAKAAN,651
UNIT PENGURUSAN KOLEJ KEDIAMAN,UPKK,UNIT KAMSIS,7698
UNIT PEMBANGUNAN DAN SENGGARAAN ,UPS,UNIT PEMBANGUNAN & SENGGARAAN,234
UNIT TEKNOLOGI MAKLUMAT & KOMUNIKASI,UICT,UNIT TEKNOLOGI MAKLUMAT & KOMUNIKASI,219
UNIT CENTRE OF GEOMATICS ,COT,UNIT CENTRE OF GEOMATICS ,0
UNIT KESELAMATAN DAN KESIHATAN ,SHU,UNIT KESELAMATAN DAN KESIHATAN ,0
,,,17583
